,title,Genre,Created by,Starring,Composers,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Cinematography,Editors,Running time,Production companies,Distributor,Original network,Picture format,Audio format,Original release,Running time (int),Final release,Theme music composer,Producer,Production location,Production locations,Based on,Developed by,Related shows,Narrated by,Opening theme,Production company,Preceded by,Producers,Composer,Editor,Camera setup,Written by,Directed by,Music by,Voices of,Ending theme,No. of series,Spanish,Original languages,Executive producer,Original work,Owned by,Toy(s),Web series,Creative directors,Followed by,Animator,Screenplay by,German,Japanese,Hangul,Hanja,Creative director,Budget,Portuguese,Turkish,Traditional,Simplified,Mandarin,Polish,Swedish,Produced by,Productioncompanies ,Distributed by,Release date,Country,Language,Edited by,Presented by,First shown in,Also known as,Judges,French,Chinese,Inspired by,Box office,Book(s),Film(s),Direct-to-video,Musical(s),Video game(s),Soundtrack(s),Original music,Theme park attraction(s),Candy brand,Confections,Revised Romanization
742,Shaun the Sheep,ComedyClay animationSlice of life,Nick Park,,,United KingdomGermany,English,6,17036 ,For Aardman Animations: Miles BulloughDavid SproxtonPeter LordNick ParkFor BBC:Michael CarringtonNikki Chaplin,,,7 minutes,Aardman AnimationsBBCWestdeutscher Rundfunk,,CBBC (Series 1-5)BBC One (special)Netflix (Series 6),16:9 widescreen PAL (576i) (2007)16:9 HDTV (1080i) (2009–present),Dolby Digital 5.1,5 March 2007 (2007-03-05) –present (present),7,present,Mark Thomas,,,,Wallace & Gromitby Nick Park,Richard GoleszowskiAlison SnowdenDavid Fine,Wallace and GromitTimmy Time,,"""Life's a Treat"" by Mark Thomas and Vic Reeves",,,Julie Lockhart (series 1)Gareth Owen (series 2)John Woolley (series 3 and 4),Mark Thomas,,,,Richard GoleszowskiChristopher Sadler,,Justin FletcherJohn SparkesKate HarbourRichard WebberEmma Tate (2016)Andy Nyman (2016)Simon Greenall (2016)Jo Allen (2007),"""Life's a Treat (Instrumental)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Trollhunters: Tales of Arcadia,"['Science fantasy', 'Adventure', 'Action', 'Comedy-drama']",Guillermo del Toro,,,United States,English,3,52 ,"['Guillermo del Toro', 'Rodrigo Blaas', 'Marc Guggenheim', 'Christina Steinberg', 'Kevin Hageman', 'Dan Hageman']",,,22 minutes,"['DreamWorks Animation TV', 'Double Dare You']","['NBCUniversal Television Distribution', 'Netflix']",Netflix,HDTV 1080p,Stereo,"December 23, 2016 (2016-12-23) –May 25, 2018 (2018-05-25)",22,"May 25, 2018",Alexandre Desplat,Chad Hammes,,,Trollhunters2015 novelby Guillermo del Toro and Daniel Kraus,,,,,,,,Tim Davies,,,,,,"['Anton Yelchin', 'Kelsey Grammer', 'Charlie Saxton', 'Lexi Medrano', 'Jonathan Hyde', 'Fred Tatasciore', 'Ron Perlman', 'Amy Landecker', 'Emile Hirsch']",,,,,,,,,,,3Below: Tales of Arcadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Johnny Test,Science fantasyActionAdventureComedy,Scott Fellows,,Kevin Manthei (season 1)Ian LeFeuvre (seasons 2–6)Ari Posner (seasons 2–6),United StatesCanada,English,6,117 ,"['Loris Kramer Lunsford', 'Sander Schwartz (season 1)', 'Michael Hirsh (seasons 2–6)', 'Lesley Taylor (season 2)', 'Scott Fellows (seasons 2–6)', 'Pamela Slavin (seasons 3–4)', 'Toper Taylor (seasons 4–6)', 'John Vandervelde (seasons 5–6)']",,,22 minutes (2 11–minute segments),"['Warner Bros. Animation (seasons 1-2)', 'Cookie Jar Entertainment (seasons 2–6)', 'DHX Media (season 6)']",Warner Bros. Television Distribution (season 1)Cookie Jar Entertainment (seasons 2-6)DHX Media (season 6),United States:Kids' WB (The WB/The CW) (2005-08)The CW4Kids  (The CW)  (2008) Cartoon Network (2008–14)Canada:Teletoon (2006–14),4:3 480p/576p (SDTV)(2005–06)16:9 720p/1080p (HDTV)(2006–14),,"September 17, 2005 (2005-09-17) –December 25, 2014 (2014-12-25)",,"December 25, 2014",Kevin Manthei (season 1)Kevin Riepl (season 1)Ian LeFeuvre (seasons 2–6),,,,,Aaron Simpson,,,"Johnny Test Theme, performed by Aaron Molho (season 1) and Ian LeFeuvre (seasons 2–6)",,,"['Scott Fellows (season 1)', 'Chris Savino (season 1)', 'Pamela Slavin (season 2)', 'Jennifer Picherack (season 3)', 'Dave Beatty (season 4)', 'Audrey Velichka (season 5)']",,,,,,,"['James Arnold Taylor', 'Louis Chirillo (seasons 1–4)', 'Trevor Devall (seasons 5–6)', 'Brittney Wilson (seasons 1 & 5)', 'Ashleigh Ball (seasons 2–4, 6)', 'Maryke Hendrikse', 'Ian James Corlett', 'Kathleen Barr', 'Lee Tockar', 'Andrew Francis', 'Bill Mondy', 'Scott McNeil']",Johnny Test Theme (instrumental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Carmen Sandiego,"['Action-adventure', 'Comedy', 'Mystery-Drama', 'Educational']",,,"[""Steve D'Angelo"", 'Lorenzo Castelli']","['Canada', 'United States']",English,4,32 ,"['Caroline Fraser', 'C.J. Kettler', 'Anne Loi', 'Kirsten Newlands']",,,24–33 minutes,"['WildBrain Studios', 'HMH Productions', 'I Can & I Will Productions']",,Netflix,,,"January 18, 2019 (2019-01-18) –January 15, 2021 (2021-01-15)",24,"January 15, 2021",Jared Lee Gosselin,Brian Hulme,,,Carmen Sandiegoby Broderbund,Duane Capizzi,"['Where in the World Is Carmen Sandiego?', 'Where in Time Is Carmen Sandiego?', 'Where on Earth Is Carmen Sandiego?']",,"""Carmen Sandiego""performed by Raquel Castro",,,,,,,,"['Jos Humphrey', 'Kenny Park', 'Mike West']",,"['Gina Rodriguez', 'Finn Wolfhard', 'Michael Hawley', 'Abby Trott']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Undercover,,Nico Moolenaar,Tom WaesAnna DrijverFrank Lammers,,"Belgium, Netherlands",Dutch,2,20 ,,,,,,Netflix,EénNetflix,HDTV (1080p),,"February 24, 2019 (2019-02-24) –present (present)",,present,,"Nico Moolenaar
Jan Theys

Ivy Vanhaecke",,BelgiumFranceNetherlandsGermany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,The Witcher,"['Fantasy', 'Serial drama', 'Adventure', 'Action']",Lauren Schmidt Hissrich,"['Henry Cavill', 'Freya Allan', 'Eamon Farren', 'Anya Chalotra', 'Joey Batey', 'MyAnna Buring', 'Royce Pierreson', 'Mimi Ndiweni', 'Wilson Radjou-Pujalte', 'Anna Shaffer', 'Mahesh Jadu']","['Sonya Belousova', 'Giona Ostinelli']","['United States', 'Poland']",English,1,8 ,"['Sean Daniel', 'Jason Brown', 'Tomasz Bagiński', 'Jarosław Sawko', 'Lauren Schmidt Hissrich', 'Alik Sakharov']","['Jean-Philippe Gossart', 'Gavin Struthers']","['Liana Del Giudice', 'Nick Arthurs', 'Jean-Daniel Fernandez-Qundez', 'Xavier Russell']",47–67 minutes,"['Sean Daniel Company', 'Stillking Films', 'Platige Image', 'One of Us', 'Cinesite']",Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",5.1 surround sound,"December 20, 2019 (2019-12-20) –present (present)",47,present,,,,,The Witcherby Andrzej Sapkowski,,,,,,,['Mike Ostrowski'],,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Hilda,"['Urban Fantasy', 'Adventure', 'Comedy-drama', 'Science fantasy', 'Supernatural']",Luke Pearson,"['Bella Ramsey', 'Ameerah Falzon-Ojo', 'Oliver Nelson', 'Daisy Haggard', 'Rasmus Hardiker']",Dan Mangan (season 1)Ryan Carlson (all seasons),United KingdomCanadaUnited States,English,2,26,"['Kurt Mueller', 'Luke Pearson', 'Stephanie Simpson', 'Clint Eland', 'Paula Rosenthal']",,,24 minutes,NetflixSilvergate MediaMercury FilmworksNobrow PressAtomic CartoonsFlying Eye Books (season 2),,Netflix,16:9 1080p,Dolby Digital 5.1,21 September 2018 (2018-09-21) –present,24,present,Grimes,,,,Hildaby Luke Pearson,"['Luke Pearson', 'Stephanie Simpson', 'Kurt Mueller']",,,"""Hilda (Main Title Theme)"" performed by Grimes",,,"['Bryan Korn', 'Chantal Ling', 'Rachel Simon', 'Supervising producer: Adam Idelson']",,John McKinnon,,"['Stephanie Simpson', 'Kenny Byerly', 'Ben Joseph', 'Luke Pearson', 'Brian Korn', 'Gabe Pulliam', 'Tim McKeon', 'Todd Casey', 'Emily Brundige']",Andy Coyle,,,"""Hilda's Theme"" composed by Ryan Carlson (all seasons)""The Life of Hilda"" performed by Bella Ramsey (season 2, episode 7)""The End"" performed by Greta Kline (season 2, episode 13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,The Warriors,,,"['Michael Beck', 'James Remar', 'Deborah Van Valkenburgh', 'Marcelino Sánchez', 'David Harris', 'Tom McKitterick', 'Brian Tyler', 'Dorsey Wright', 'Terry Michos', 'David Patrick Kelly', 'Roger Hill', 'Edward Sewer', 'Lynne Thigpen']",,,,N/A,N/A,,Andrew Laszlo,,92 minutes,,,,,,,92,,,,,,The Warriorsby Sol Yurick,,,,,,,,,,,,Walter Hill,Barry De Vorzon,,,,,,,,,,,,,,"['David Shaber', 'Walter Hill']",,,,,,$4 million,,,,,,,,Lawrence Gordon,,Paramount Pictures,"['February 9, 1979 (1979-02-09)']",United States,English,"['David Holden', 'Freeman Davies Jr.', 'Billy Weber', 'Susan E. Morse']",,,,,,,,$22.5 million,,,,,,,,,,,
750,House of Cards,"['Political drama', 'Political thriller']",Beau Willimon,"['Kevin Spacey', 'Robin Wright', 'Michael Kelly', '(See full cast below)']",,United States,English,6,73 ,"['David Fincher', 'Kevin Spacey', 'Eric Roth', 'Joshua Donen', 'Dana Brunetti', 'Andrew Davies', 'Michael Dobbs', 'John Melfi', 'Beau Willimon', 'David Manson', 'John David Coles', 'Robin Wright', 'Frank Pugliese', 'Melissa James Gibson']","['Eigil Bryld', 'Tim Ives', 'Igor Martinovic']",,43–59 minutes,"['MRC', 'Trigger Street Productions', 'Wade/Thomas Productions', 'Knight Takes King Productions']",Sony Pictures Television,Netflix,"['1080p (2:1 HDTV) (2013)', '4K (2:1 UHDTV) (2014–18)']",Dolby Digital 5.1,"February 1, 2013 (2013-02-01) –November 2, 2018 (2018-11-02)",43,"November 2, 2018",,,,"['Baltimore, Maryland', 'Joppa, Maryland(sound stage)']","['House of Cardsby Michael Dobbs', 'House of Cardsby Andrew Davies']",,House of Cards,,,,,,,,,,,Jeff Beal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Sword Art Online,,,,,United States,English,N/A,N/A,"['Laeta Kalogridis', 'David Ellison', 'Dana Goldberg', 'Marcy Ross']",,,,,Netflix,,,,,,,,,,,,,,,,Skydance Television,,,,,,Laeta Kalogridis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Stranger Things,"['Science fiction', 'Horror', 'Mystery-thriller']",The Duffer Brothers,"['Winona Ryder', 'David Harbour', 'Finn Wolfhard', 'Millie Bobby Brown', 'Gaten Matarazzo', 'Caleb McLaughlin', 'Natalia Dyer', 'Charlie Heaton', 'Cara Buono', 'Matthew Modine', 'Noah Schnapp', 'Sadie Sink', 'Joe Keery', 'Dacre Montgomery', 'Sean Astin', 'Paul Reiser', 'Maya Hawke', 'Priah Ferguson', 'Brett Gelman', 'Jamie Campbell Bower', 'Eduardo Franco', 'Joseph Quinn']","['Michael Stein', 'Kyle Dixon']",United States,English,3,25 ,"['The Duffer Brothers', 'Shawn Levy', 'Dan Cohen', 'Cindy Holland', 'Brian Wright', 'Matt Thunell', 'Karl Gajdusek', 'Iain Paterson']","['Tim Ives', 'Tod Campbell', 'Lachlan Milne', 'David Franco']","['Dean Zimmerman', 'Kevin D. Ross', 'Nat Fuller', 'Katheryn Naranjo']",42–77 minutes,"['21 Laps Entertainment', 'Monkey Massacre']",Netflix Streaming Services,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital 5.1,"July 15, 2016 (2016-07-15) –present (present)",42,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,The Crown,Historical drama,Peter Morgan,"['Claire Foy', 'Matt Smith', 'Vanessa Kirby', 'Eileen Atkins', 'Jeremy Northam', 'Victoria Hamilton', 'Ben Miles', 'Greg Wise', 'Jared Harris', 'John Lithgow', 'Alex Jennings', 'Lia Williams', 'Anton Lesser', 'Matthew Goode', 'Olivia Colman', 'Tobias Menzies', 'Helena Bonham Carter', 'Ben Daniels', 'Jason Watkins', 'Marion Bailey', 'Erin Doherty', 'Jane Lapotaire', 'Charles Dance', ""Josh O'Connor"", 'Geraldine Chaplin', 'Michael Maloney', 'Emerald Fennell', 'Andrew Buchan', 'Gillian Anderson', 'Emma Corrin', 'Stephen Boxer']","['Rupert Gregson-Williams (1–2)', 'Lorne Balfe (2)', 'Martin Phipps (3–4)']","['United Kingdom', 'United States']",English,4,40 ,"['Peter Morgan', 'Stephen Daldry', 'Andy Harries', 'Philip Martin', 'Suzanne Mackie', 'Matthew Byam Shaw', 'Robert Fox', 'Tanya Seghatchian', 'Nina Wolarsky', 'Allie Goss', 'Benjamin Caron']",,,47–61 minutes,"['Left Bank Pictures', 'Sony Pictures Television']",Netflix Streaming Services,Netflix,4K (Ultra HD),,4 November 2016 (2016-11-04) –present (present),47,present,Hans Zimmer,Andrew Eaton,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Ozark,"['Crime drama', 'Thriller']","['Bill Dubuque', 'Mark Williams']","['Jason Bateman', 'Laura Linney', 'Sofia Hublitz', 'Skylar Gaertner', 'Julia Garner', 'Jordana Spiro', 'Jason Butler Harner', 'Esai Morales', 'Peter Mullan', 'Lisa Emery', 'Charlie Tahan', 'Janet McTeer', 'Tom Pelphrey', 'Jessica Frances Dukes']","['Danny Bensi', 'Saunder Jurriaans']",United States,English,3,30 ,"['Jason Bateman', 'Chris Mundy', 'Bill Dubuque', 'Mark Williams']",,,52–80 minutes,"['MRC', 'Aggregate Films', 'Zero Gravity Management', 'Headhunter Films', 'Man, Woman & Child Productions']",Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital 5.1,"July 21, 2017 (2017-07-21) –present (present)",52,present,,,,"['Lake Allatoona, Georgia', 'Lake Lanier, Georgia']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Lost in Space,"['Science fiction', 'Adventure', 'Family drama']",Irwin Allen,"['Molly Parker', 'Toby Stephens', 'Maxwell Jenkins', 'Taylor Russell', 'Mina Sundwall', 'Ignacio Serricchio', 'Parker Posey', 'Brian Steele']","['Christopher Lennertz', 'John Williams (original theme)']",United States,English,2,20 ,"['Neil Marshall', 'Zack Estrin', 'Kevin Burns', 'Jon Jashni', 'Matt Sazama', 'Burk Sharpless', 'Marc Helwig', 'Alex Graves']",Sam McCurdy,,39–65 minutes,"['Sazama Sharpless Productions', 'Applebox Entertainment', 'Synthesis Entertainment', 'Clickety-Clack Productions', 'Legendary Television']",Netflix,Netflix,4K (Ultra HD),,"April 13, 2018 (2018-04-13) –present (present)",39,present,,,,"Vancouver, British Columbia",1965 series of the same nameby Irwin AllenThe Swiss Family Robinson byJohann David Wyss,Matt SazamaBurk Sharpless,"['Lost in Space (1965 TV series)', 'Lost in Space (1998 film)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Narcos: Mexico,"['Crime drama', 'Biographical']","['Carlo Bernard', 'Chris Brancato', 'Doug Miro']","['Michael Peña', 'Diego Luna', 'Tenoch Huerta Mejía', 'Alyssa Diaz', 'Joaquín Cosío', 'José María Yazpik', 'Matt Letscher', 'Ernesto Alterio', 'Alejandro Edda', 'Fernanda Urrejola', 'Teresa Ruiz', 'Aaron Staton', 'Lenny Jacobson', 'Gerardo Taracena', 'Julio Cesar Cedillo', 'Scoot McNairy', 'Alfonso Dosal', 'Mayra Hermosillo', 'Manuel Masalva', 'Miguel Rodarte', 'Alex Knight', 'Jesse Garcia', 'Matt Biedel', 'Jero Medina', 'Alberto Zeni', 'Gorka Lasaosa', 'Andres Londono', 'Alberto Ammann', 'Flavio Medina']","['Gustavo Santaolalla', 'Kevin Kiner']",United StatesMexico,,2,20 ,"['Carlo Bernard', 'Doug Miro', 'Eric Newman', 'José Padilha']",,,45–69 minutes,,Netflix,Netflix,,,"November 16, 2018 (2018-11-16) –present",45,present,Rodrigo Amarante,,,"['Mexico', 'United States']",,,,['Scoot McNairy'],"""Tuyo""",Gaumont International Television,Narcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,The Umbrella Academy,"['Black comedy', 'Drama', 'Science fiction', 'Superhero', 'Fantasy']",Steve Blackman,"['Elliot Page', 'Tom Hopper', 'David Castañeda', 'Emmy Raver-Lampman', 'Robert Sheehan', 'Aidan Gallagher', 'Mary J. Blige', 'Cameron Britton', 'John Magaro', 'Adam Godley', 'Colm Feore', 'Justin H. Min', 'Ritu Arya', 'Yusuf Gatewood', 'Marin Ireland', 'Kate Walsh']","['Jeff Russo', 'Perrine Virgile']",United States,English,2,20 ,"['Gerard Way', 'Gabriel Bá', 'Jeremy Slater', 'Scott Stuber', 'Beau Bauman', 'Mike Richardson', 'Keith Goldberg', 'Peter Hoar', 'Jeff F. King', 'Steve Blackman']","['Neville Kidd', 'Craig Wrobleski']","['Jon Dudkowski', 'Timothy A. Good', 'Amy Duddleston', 'Wendy Tzeng', 'Todd Desrosiers', 'Brian Beal', 'Amanda Panella', 'Franklin Peterson']",40–60 minutes,"['Borderline Entertainment', 'Dark Horse Entertainment', 'Universal Cable Productions']",NetflixNBCUniversal Television Distribution,Netflix,4K UHDTV 2160p,Dolby Digital,"February 15, 2019 (2019-02-15) –present (present)",40,present,,,,"['Toronto, Ontario', 'Hamilton, Ontario']",The Umbrella Academyby Gerard Way and Gabriel Bá,Jeremy Slater,,,,,,"['Kevin Lafferty', 'Sneha Koorse', 'Jamie Neese', 'Jason Neese', 'Ted Miller']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Black Summer,"['Action', 'Apocalyptic fiction', 'Drama']","['Karl Schaefer', 'John Hyams']","['Jaime King', 'Justin Chu Cary', 'Christine Lee', 'Sal Velez Jr.', 'Kelsey Flower', 'Erika Hau']",,Canada,English,1,8 ,,"['Yaron Levy', 'Spiro Grant']",,20–44 minutes,,Netflix,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital,"April 11, 2019 (2019-04-11) –present (present)",20,present,,Jodi Binstock,,,"['Karl Schaefer', 'Craig Engler']",,,,,The Asylum,,,Alec Puro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,Another Life,"['Science fiction', 'Drama']",Aaron Martin,"['Katee Sackhoff', 'Justin Chatwin', 'Samuel Anderson', 'Blu Hunt', 'A.J. Rivera', 'Jake Abel', 'Alex Ozerov', 'Alexander Eling', 'JayR Tinaco', 'Lina Renna', 'Selma Blair', 'Elizabeth Ludlow']",,United States,English,1,10 ,"['Aaron Martin', 'Noreen Halpern', 'Chris Regina']",Ryan McMaster,,37–61 minutes,"['Navy Productions', 'Halfire Entertainment']",Netflix,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital,"July 25, 2019 (2019-07-25) –present (present)",37,present,,,,"British Columbia, Canada",,,,,,,,"['Justis Greene', 'Katee Sackhoff', 'Omar Madha']",Trevor Morris,Stein Myhrstad,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Criminal: UK,Police procedural anthology series,"['George Kay', 'Jim Field Smith']","['Katherine Kelly', 'Lee Ingleby', 'Mark Stanley']",,United Kingdom,English,2,7 ,,,,41–48 minutes,,,,,,20 September 2019 (2019-09-20) –present,41,present,,,,,,,"['Criminal: France', 'Criminal: Germany', 'Criminal: Spain']",,,Idiotlamp Productions,,,,,,George Kay,Jim Field Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Raising Dion,"['Superhero', 'Science fiction', 'Adventure', 'Family drama']",Carol Barbee,"['Alisha Wainwright', ""Ja'Siah Young"", 'Jazmyn Simon', 'Sammi Haney', 'Jason Ritter']",,United States,English,1,9 ,"['Carol Barbee', 'Charles D. King', 'Kim Roth', 'Poppy Hanks', 'Kenny Goodman', 'Dennis Liu', 'Seith Mann', 'Michael Green', 'Michael B. Jordan']","['Armando Salas', 'Peter Flinckenberg']","['James D. Wilcox', 'Scott James Wallace', 'Elisa R. Cohen', 'William Yeh']",38–50 minutes,"['Fixed Mark Productions', 'MACRO', 'Outlier Society Productions']",,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital,"October 4, 2019 (2019-10-04) –present (present)",38,present,,,,,Raising Dionby Dennis Liu,,,,,,,"['Robert F. Phillips', 'Edward Ricourt', 'Juanita Diana Feeney']",,,,,,Kris Bowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Virgin River,Romantic drama,,"['Alexandra Breckenridge', 'Martin Henderson', 'Colin Lawrence', 'Jenny Cooper', 'Lauren Hammersley', ""Annette O'Toole"", 'Tim Matheson', 'Benjamin Hollingsworth', 'Grayson Gurnsey', 'Sarah Dugdale']",,United States,English,2,20 ,"['Robyn Carr', 'Christopher E. Perry', 'Sue Tenney', 'Roma Roth', 'Jocelyn Freid']","['David Pelletier', 'David J. Frazee', 'Toby Gorman']","['Daria Ellerman', 'Nicole Ratcliffe', 'Lara Mazur', 'Kirk Hay']",40–48 minutes,,,Netflix,,,"December 6, 2019 (2019-12-06) –present (present)",40,present,,Ian Hay,,,Virgin River novelsby Robyn Carr,Sue Tenney,,,,Reel World Management,,,,,,,,Jeff Garber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,The Witcher,"['Fantasy', 'Serial drama', 'Adventure', 'Action']",Lauren Schmidt Hissrich,"['Henry Cavill', 'Freya Allan', 'Eamon Farren', 'Anya Chalotra', 'Joey Batey', 'MyAnna Buring', 'Royce Pierreson', 'Mimi Ndiweni', 'Wilson Radjou-Pujalte', 'Anna Shaffer', 'Mahesh Jadu']","['Sonya Belousova', 'Giona Ostinelli']","['United States', 'Poland']",English,1,8 ,"['Sean Daniel', 'Jason Brown', 'Tomasz Bagiński', 'Jarosław Sawko', 'Lauren Schmidt Hissrich', 'Alik Sakharov']","['Jean-Philippe Gossart', 'Gavin Struthers']","['Liana Del Giudice', 'Nick Arthurs', 'Jean-Daniel Fernandez-Qundez', 'Xavier Russell']",47–67 minutes,"['Sean Daniel Company', 'Stillking Films', 'Platige Image', 'One of Us', 'Cinesite']",Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",5.1 surround sound,"December 20, 2019 (2019-12-20) –present (present)",47,present,,,,,The Witcherby Andrzej Sapkowski,,,,,,,['Mike Ostrowski'],,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Locke & Key,"['Supernatural horror', 'Fantasy', 'Drama']",,"['Darby Stanchfield', 'Connor Jessup', 'Emilia Jones', 'Jackson Robert Scott', 'Petrice Jones', 'Laysla De Oliveira', 'Griffin Gluck']",,United States,English,1,10 ,"['Carlton Cuse', 'Meredith Averill', 'Lindsey Springer', 'Tim Southam', 'Michael Morris', 'Joe Hill', 'John Weber', 'Frank Siracusa', 'Aron Eli Coleite', 'Chris Ryall', 'Ted Adams', 'Lydia Antonini', 'Andy Muschietti', 'Barbara Muschietti', 'David Alpert', 'Rick Jacobs']","['Tico Poulakakis', 'Colin Hoult']","['Matthew V. Colonna', 'Lilly Urban', 'Paul Trejo', 'Andrew Behrens', 'Philip Fowler']",40–56 minutes,"['Genre Arts', 'Hard A Productions', 'Circle of Confusion', 'IDW Entertainment']",,Netflix,,,"February 7, 2020 (2020-02-07) –present (present)",40,present,,,,"['Toronto, Ontario', 'Lunenburg, Nova Scotia']",Locke & Keyby Joe Hill and Gabriel Rodriguez,"['Carlton Cuse', 'Meredith Averill', 'Aron Eli Coleite']",,,,,,"[""Ra'uf Glasgow"", 'Kevin Lafferty', 'Nishpeksh Mehra']",,,Single-camera,,,Torin Borrowdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,The Letter for the King,,,"['Amir Wilson', 'Ruby Ashbourne Serkis', 'Thaddea Graham', 'Gijs Blom']",, United Kingdom Netherlands,English,1,6 ,"['Will Davies', 'Paul Trijbits']",,,,,,Netflix,,,,,,,Chris Clark,,"['New Zealand', 'Czech Republic']",De brief voor de Koningby Tonke Dragt,,,,,FilmWave,,,Brandon Campbell,,,Will Davies,"['Alex Holmes', 'Felix Thompson']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,Outer Banks,"['Teen drama', 'Action-adventure', 'Mystery', 'Thriller']","['Josh Pate', 'Jonas Pate', 'Shannon Burke']","['Chase Stokes', 'Madelyn Cline', 'Madison Bailey', 'Jonathan Daviss', 'Rudy Pankow', 'Austin North', 'Charles Esten', 'Drew Starkey']",,United States,English,1,10,"['Josh Pate', 'Jonas Pate', 'Shannon Burke']","['J.B. Smith', 'Gonzalo Amat']","['Sunny Hodge', 'Christal Khatib', 'Jeffrey M. Werner', 'Kyle Bond', 'Scott Wallace', 'Blake Maniquis', 'John Peter Bernardo']",46–56 minutes,"['Rock Fish', 'Red Canoe Productions']",,Netflix,4K (16:9 UHDTV in HDR),Dolby Digital,"April 15, 2020 (2020-04-15) –present (present)",46,present,,,,,,,,Chase Stokes,,,,"['Aaron Miller', 'Sunny Hodge']",,,,,,Fil Eisler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Sweet Magnolias,Romantic drama,,"['JoAnna Garcia Swisher', 'Brooke Elliott', 'Heather Headley', 'Logan Allen', 'Anneliese Judge', 'Carson Rowland', 'Justin Bruening', 'Chris Klein', 'Jamie Lynn Spears']",,United States,English,1,10,"['Sherryl Woods', 'Sheryl J. Anderson', 'Dan Paulson']",Brian Johnson,"['Daria Ellerman', 'Jason Pielak', 'Alison Grace', 'Mark Shearer']",43–52 minutes,,,Netflix,,,"May 19, 2020 (2020-05-19) –present",43,present,,Matt Drake,,,Sweet Magnolias booksby Sherryl Woods,Sheryl J. Anderson,,,"""Destination"" by Nickel Creek",Daniel L. Paulson Productions,,,,,,,,James Jandrisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
